name,owner,pr_url,pr_title,number,branch_name,base_sha,event,merged,commits,changed_files,node_version,pkg_manager,package,version_from,version_to
cypress-codegen,ExpediaGroup,https://github.com/ExpediaGroup/cypress-codegen/pull/110,chore(deps-dev): bump cypress from 11.2.0 to 12.0.2,110,dependabot/npm_and_yarn/cypress-12.0.2,be42f59893d07c5a6956fd7aca50f4baf8423380,closed,true,2,3,18.4.0,npm,cypress,11.2.0,12.0.2
uwazi,huridocs,https://github.com/huridocs/uwazi/pull/5124,Bump eslint from 7.32.0 to 8.23.1,5124,dependabot/npm_and_yarn/eslint-8.23.1,e5153167df3343f64297381d6cb05d19804684fc,closed,true,3,3,16.17.0,yarn,eslint,7.32.0,8.23.1
market,oceanprotocol,https://github.com/oceanprotocol/market/pull/1718,Bump filesize from 9.0.11 to 10.0.5,1718,dependabot/npm_and_yarn/filesize-10.0.5,8029a8b99990673bdbed176ed32b3bdf92f09857,closed,true,2,3,16,npm,filesize,9.0.11,10.0.5
exam-engine,digabi,https://github.com/digabi/exam-engine/pull/2243,build(deps-dev): bump fast-check from 2.25.0 to 3.0.0,2243,dependabot/npm_and_yarn/fast-check-3.0.0,05b2c74a7d4c70dfe7c023cad1a59180e887ce08,closed,true,2,3,16.14.0,yarn,fast-check,2.25.0,3.0.0
bpmn-visualization-js,process-analytics,https://github.com/process-analytics/bpmn-visualization-js/pull/1738,[INFRA] prod - Bump fast-xml-parser from 3.21.1 to 4.0.1,1738,dependabot/npm_and_yarn/fast-xml-parser-4.0.1,4df2200ea959bb93299271dd7bdb4ab641b9121b,closed,true,5,3,16,npm,fast-xml-parser,3.21.1,4.0.1
relaynet-pong,relaycorp,https://github.com/relaycorp/relaynet-pong/pull/585,chore(deps-dev): Bump typescript from 3.9.10 to 4.6.3,585,dependabot/npm_and_yarn/typescript-4.6.3,3cc9000f41aae8544e2cb6057b307d9acc9c6382,closed,true,3,3,16,npm,typescript,3.9.10,4.6.3
hmpps-interventions-ui,ministryofjustice,https://github.com/ministryofjustice/hmpps-interventions-ui/pull/1658,Bump helmet from 5.1.1 to 6.0.0,1658,dependabot/npm_and_yarn/helmet-6.0.0,ba4b5e9b6bf91d7188649a826464ae218128f7eb,closed,true,2,3,v16.14.2,npm,helmet,5.1.1,6.0.0
hmpps-interventions-ui,ministryofjustice,https://github.com/ministryofjustice/hmpps-interventions-ui/pull/1099,Bump cookie-session from 1.4.0 to 2.0.0,1099,dependabot/npm_and_yarn/cookie-session-2.0.0,c7960603a98e24fd7c2ef3cb8ab723b90341cb01,closed,true,2,3,v16.14.2,npm,cookie-session,1.4.0,2.0.0
pixiebrix-extension,pixiebrix,https://github.com/pixiebrix/pixiebrix-extension/pull/3840,Bump p-memoize from 6.0.2 to 7.0.0,3840,dependabot/npm_and_yarn/p-memoize-7.0.0,c32b3c841dadae8ca0a134233d8ea4cbdefb1a0d,closed,true,3,3,stable,npm,p-memoize,6.0.2,7.0.0
bpmn-visualization-js,process-analytics,https://github.com/process-analytics/bpmn-visualization-js/pull/2077,[INFRA] dev - Bump @types/jest-image-snapshot from 4.3.2 to 5.1.0,2077,dependabot/npm_and_yarn/types/jest-image-snapshot-5.1.0,253a5abd2d7f4b0659ec855abea64c8703b6c46d,closed,true,2,3,16,npm,@types/jest-image-snapshot,4.3.2,5.1.0
wp-parsely,Parsely,https://github.com/Parsely/wp-parsely/pull/1086,build(deps-dev): bump @wordpress/core-data from 4.14.0 to 5.0.0,1086,dependabot/npm_and_yarn/wordpress/core-data-5.0.0,a7ecd3431668296914b8b4b20c555381e2425bad,closed,true,2,3,16,npm,@wordpress/core-data,4.14.0,5.0.0
starwards,starwards,https://github.com/starwards/starwards/pull/858,Bump detect-collisions from 4.0.2 to 5.0.1,858,dependabot/npm_and_yarn/detect-collisions-5.0.1,9a7fa63782d93988c6ad99899d6f77d21c718a8e,closed,true,2,3,v18.3.0,npm,detect-collisions,4.0.2,5.0.1
