name,owner,pr_url,pr_title,number,branch_name,base_sha,event,merged,commits,changed_files,node_version,pkg_manager,package,version_from,version_to
microformats-parser,microformats,https://github.com/microformats/microformats-parser/pull/237,chore(deps): bump prettier from 2.6.2 to 3.0.3,237,dependabot/npm_and_yarn/prettier-3.0.3,df6a91b5f15ff2197f5cd3cd05d2bb09d8d65cb1,closed,true,2,33,18,yarn,prettier,2.6.2,3.0.3
vscode-home-assistant,keesschollaart81,https://github.com/keesschollaart81/vscode-home-assistant/pull/2721,Bump prettier from 2.8.8 to 3.0.0 in /src/language-service,2721,dependabot/npm_and_yarn/src/language-service/dev/prettier-3.0.0,600ae604df8c91ca9b0df00d8b681192cf0f1bc2,closed,true,3,20,16,npm,prettier,2.8.8,3.0.0
wastefree,jonhaddow,https://github.com/jonhaddow/wastefree/pull/155,Bump prettier from 2.8.7 to 3.0.3,155,dependabot/npm_and_yarn/prettier-3.0.3,e0a730d6ecb04bb10859fba95156ae7372cebeaa,closed,true,3,26,v18.13.0,npm,prettier,2.8.7,3.0.3
zwave-js-server,zwave-js,https://github.com/zwave-js/zwave-js-server/pull/982,Bump prettier from 2.8.8 to 3.0.0,982,dependabot/npm_and_yarn/prettier-3.0.0,f3b4b55efcbb16aaaba22a2158e6daedc1c8dfb8,closed,true,2,23,14,npm,prettier,2.8.8,3.0.0
ci-speed-ui,thedumbterminal,https://github.com/thedumbterminal/ci-speed-ui/pull/605,Bump prettier from 2.8.8 to 3.0.0,605,dependabot/npm_and_yarn/prettier-3.0.0,61639f410236d717c4106f06b0035b9b033d89f2,closed,true,2,20,16,npm,prettier,2.8.8,3.0.0
ukrdc-nuxt,renalreg,https://github.com/renalreg/ukrdc-nuxt/pull/310,Bump prettier from 2.8.8 to 3.0.0,310,dependabot/npm_and_yarn/prettier-3.0.0,34745bd4f91bc302e89e2155884597560a107a76,closed,true,2,20,v20.1.0,npm,prettier,2.8.8,3.0.0
microformats-parser,microformats,https://github.com/microformats/microformats-parser/pull/237,chore(deps): bump prettier from 2.6.2 to 3.0.3,237,dependabot/npm_and_yarn/prettier-3.0.3,df6a91b5f15ff2197f5cd3cd05d2bb09d8d65cb1,closed,true,2,33,18,yarn,prettier,2.6.2,3.0.3
vscode-home-assistant,keesschollaart81,https://github.com/keesschollaart81/vscode-home-assistant/pull/2721,Bump prettier from 2.8.8 to 3.0.0 in /src/language-service,2721,dependabot/npm_and_yarn/src/language-service/dev/prettier-3.0.0,600ae604df8c91ca9b0df00d8b681192cf0f1bc2,closed,true,3,20,16,npm,prettier,2.8.8,3.0.0
cdk,guardian,https://github.com/guardian/cdk/pull/1947,chore(deps): bump prettier from 2.8.8 to 3.0.0,1947,dependabot/npm_and_yarn/prettier-3.0.0,85996a34e627e0875514cef73e457585a0990f79,closed,true,3,50,v18.16.0,npm,prettier,2.8.8,3.0.0
snaps-registry,MetaMask,https://github.com/MetaMask/snaps-registry/pull/199,Bump @metamask/snaps-controllers from 1.0.2 to 2.0.0,199,dependabot/npm_and_yarn/main/metamask/snaps-controllers-2.0.0,413c295c93e7b80d624a3db1396cf725f6f7eb7b,closed,true,3,3,v18,yarn,@metamask/snaps-controllers,1.0.2,2.0.0
