name,owner,pr_url,pr_title,number,branch_name,base_sha,event,merged,commits,changed_files
binden,binden-js,https://github.com/binden-js/binden/pull/82,devDependencies: bump prettier from 2.8.8 to 3.0.0,82,dependabot/npm_and_yarn/prettier-3.0.0,3aed9e2b06c0cee9068226dc6f20319bb678b971,closed,true,2,70
app-contentstudio-plus,enonic,https://github.com/enonic/app-contentstudio-plus/pull/980,Bump @typescript-eslint/eslint-plugin from 5.59.11 to 6.1.0,980,dependabot/npm_and_yarn/typescript-eslint/eslint-plugin-6.1.0,be515332e8fa2f7c9dda2c9a27118809f0a15110,closed,true,4,23
alexlili.github.io,alexlili,https://github.com/alexlili/alexlili.github.io/pull/4,Bump hexo-renderer-stylus from 2.1.0 to 3.0.0,4,dependabot/npm_and_yarn/hexo-renderer-stylus-3.0.0,4534ce5ea8694a15ca5c04a39c7f848eae244bd7,closed,true,23,25
poloniex-node-api,vansergen,https://github.com/vansergen/poloniex-node-api/pull/136,devDependencies: bump prettier from 2.8.8 to 3.0.3,136,dependabot/npm_and_yarn/prettier-3.0.3,0753952443ade0f7d065985f4cee7129f12caf67,closed,true,3,257
nextcloud-vue,nextcloud,https://github.com/nextcloud/nextcloud-vue/pull/3730,Bump cypress-visual-regression from 1.7.0 to 2.1.1,3730,dependabot/npm_and_yarn/cypress-visual-regression-2.1.1,c16b8aa5e485bb071c7eb61e7124d9dce410e9e3,closed,true,3,99
urlaubsverwaltung,urlaubsverwaltung,https://github.com/urlaubsverwaltung/urlaubsverwaltung/pull/3936,Bump prettier from 2.8.8 to 3.0.0,3936,dependabot/npm_and_yarn/prettier-3.0.0,51931b3fab02fb41cdfddb3afb9b83eb64f419e9,closed,true,5,155
lucuma-react,gemini-hlsw,https://github.com/gemini-hlsw/lucuma-react/pull/367,Bump primereact from 8.7.3 to 9.0.0,367,dependabot/npm_and_yarn/primereact-9.0.0,4fab31799c63a355bbca816d69e8e7e9bfce6748,closed,true,2,17
jupyter-ui-toolkit,jupyterlab-contrib,https://github.com/jupyterlab-contrib/jupyter-ui-toolkit/pull/58,Bump stylelint from 14.16.1 to 15.10.1,58,dependabot/npm_and_yarn/stylelint-15.10.1,f8aa42110d1697b464914177fad88ca432f3dec3,closed,true,5,29
codeql-variant-analysis-action,github,https://github.com/github/codeql-variant-analysis-action/pull/833,Bump typescript from 4.8.4 to 5.1.6,833,dependabot/npm_and_yarn/typescript-5.1.6,e29dea97e21fbaf4e8d5559f84589b4748a06b78,closed,true,2,294
blurts-server,mozilla,https://github.com/mozilla/blurts-server/pull/3575,chore(deps-dev): Bump prettier from 2.8.8 to 3.0.3,3575,dependabot/npm_and_yarn/prettier-3.0.3,68f1af1b73228ddc65c6723e30d3252778b866e9,closed,true,4,142
frontend-gelinkt-notuleren,lblod,https://github.com/lblod/frontend-gelinkt-notuleren/pull/549,build(deps-dev): bump prettier from 2.8.8 to 3.0.1,549,dependabot/npm_and_yarn/prettier-3.0.1,be9263ecbb5a9430faf1d11974fa739f998df1ca,closed,true,5,62
extractor,jsdocs-io,https://github.com/jsdocs-io/extractor/pull/304,chore(deps-dev): bump dts-cli from 1.6.3 to 2.0.2,304,dependabot/npm_and_yarn/dts-cli-2.0.2,eac8c9bf11ed997dd94982e20b75060985677723,closed,true,3,64
matrix-poll,nordeck,https://github.com/nordeck/matrix-poll/pull/257,Bump prettier from 2.8.4 to 3.0.0,257,dependabot/npm_and_yarn/prettier-3.0.0,8cdd44dead9c91e4e0b633e4aadc54c7b64b8ffc,closed,true,2,146
Vrooli,Vrooli,https://github.com/Vrooli/Vrooli/pull/169,Bump jsonwebtoken from 8.5.1 to 9.0.0,169,dependabot/npm_and_yarn/jsonwebtoken-9.0.0,9db824c7f0279320ff1b3bd172ff8d51eedecfb6,closed,true,7,52
qiita-cli,increments,https://github.com/increments/qiita-cli/pull/62,Bump prettier from 2.8.4 to 3.0.3,62,dependabot/npm_and_yarn/prettier-3.0.3,0d49baa3ca346886f0ddbb4d7f9d14b5f044d072,closed,true,2,39
SimpleEncryptDecryptPage,bervProject,https://github.com/bervProject/SimpleEncryptDecryptPage/pull/1045,Bump vue from 2.7.14 to 3.3.4,1045,dependabot/npm_and_yarn/vue-3.3.4,6094d06ac4aaca29e8ea4caf462695d34967b542,closed,true,4,26
littlechildwriter,HyunseungLee-Travis,https://github.com/HyunseungLee-Travis/littlechildwriter/pull/18,Bump lodash from 3.9.3 to 4.17.21,18,dependabot/npm_and_yarn/lodash-4.17.21,561234fb0d00b2d5627d668fba4f1ce26fa567da,closed,true,3,29
spectrum-web-components,adobe,https://github.com/adobe/spectrum-web-components/pull/3807,chore: bump @spectrum-css/tokens from 12.0.0 to 13.0.4,3807,dependabot/npm_and_yarn/spectrum-css/tokens-13.0.4,28079e5548ca36907a46009b908b90f7dbb5607a,closed,true,3,20
terraso-web-client,techmatters,https://github.com/techmatters/terraso-web-client/pull/983,build(deps-dev): Bump @ianvs/prettier-plugin-sort-imports from 3.7.2 to 4.0.2,983,dependabot/npm_and_yarn/ianvs/prettier-plugin-sort-imports-4.0.2,a48e15e95a6f98ae6fc62bca22bec64e33b5dbf7,closed,true,2,248
jump-math,uwblueprint,https://github.com/uwblueprint/jump-math/pull/291,[npm backend] (deps): Bump apollo-server from 2.22.2 to 3.12.0 in /backend,291,dependabot/npm_and_yarn/backend/apollo-server-3.12.0,8c17216b63f6100cbee007a4f17965506c5ddcf4,closed,true,5,22
analyze-css,macbre,https://github.com/macbre/analyze-css/pull/859,build(deps-dev): bump prettier from 2.8.8 to 3.0.0,859,dependabot/npm_and_yarn/prettier-3.0.0,96774d58721ab50a140dc1bb25587109ce602f08,closed,true,2,22
Argus,release-argus,https://github.com/release-argus/Argus/pull/332,build(deps): bump @tanstack/react-query from 4.36.1 to 5.0.0 in /web/ui/react-app,332,dependabot/npm_and_yarn/web/ui/react-app/tanstack/react-query-5.0.0,5d9cb89a2e5f3d41bc3da67e6ce210912dd92549,closed,true,2,22
setup-nim-action,jiro4989,https://github.com/jiro4989/setup-nim-action/pull/363,chore(deps): bump compare-versions from 5.0.3 to 6.0.0,363,dependabot/npm_and_yarn/compare-versions-6.0.0,e3555620323cdc016ff0fa725fac18a4658fdec1,closed,true,2,31
notifications,nextcloud,https://github.com/nextcloud/notifications/pull/1711,Chore(deps): Bump @nextcloud/dialogs from 4.2.1 to 5.0.0,1711,dependabot/npm_and_yarn/nextcloud/dialogs-5.0.0,4507e2728f19a584692fd8faff9ff0b2c58e334f,closed,true,3,43
api.serlo.org,serlo,https://github.com/serlo/api.serlo.org/pull/1097,build(deps-dev): bump msw from 1.3.2 to 2.0.3,1097,dependabot/npm_and_yarn/msw-2.0.3,6347fa3e426776c9f5f29535ad403aa111d451ec,closed,true,8,57
cli,mittwald,https://github.com/mittwald/cli/pull/85,Bump @oclif/plugin-update from 3.1.28 to 4.1.3,85,dependabot/npm_and_yarn/oclif/plugin-update-4.1.3,2703345f6227df7c94b3bdfd322d45136fa8ae6d,closed,true,2,17
oppfolgingsplan-frontend,navikt,https://github.com/navikt/oppfolgingsplan-frontend/pull/287,Bump eslint-plugin-prettier from 4.2.1 to 5.0.1,287,dependabot/npm_and_yarn/eslint-plugin-prettier-5.0.1,59112edbd6c9fe0a5338d028c4964727cea08bc7,closed,true,3,127
connect-es,bufbuild,https://github.com/bufbuild/connect-es/pull/740,Bump prettier from 2.8.8 to 3.0.0,740,dependabot/npm_and_yarn/prettier-3.0.0,211c6513b9d03eb9db2aa1519a4f3b326e585149,closed,true,5,161
karafriends,connorworley,https://github.com/connorworley/karafriends/pull/106,Bump react-router-dom from 5.2.0 to 6.11.1,106,dependabot/npm_and_yarn/react-router-dom-6.11.1,f62f7191011d3fff102b5667695e2d4e50f35989,closed,true,2,29
color-tables,emerson-eps,https://github.com/emerson-eps/color-tables/pull/761,build(deps-dev): bump @emerson-eps/eslint-config from 5.0.4 to 6.0.15 in /react-app,761,dependabot/npm_and_yarn/react-app/emerson-eps/eslint-config-6.0.15,0eed3699da771aecd3ba1841bdab9310ac0df50f,closed,true,2,32
airbyte-connectors,faros-ai,https://github.com/faros-ai/airbyte-connectors/pull/1001,Bump commander from 9.5.0 to 10.0.1,1001,dependabot/npm_and_yarn/commander-10.0.1,22fc39f680ddeafa826834974f242ea66cc0c27d,closed,true,3,31
codeql-action,github,https://github.com/github/codeql-action/pull/1592,Bump typescript from 4.9.4 to 5.0.2,1592,dependabot/npm_and_yarn/typescript-5.0.2,fb75ebd7508a284201f74f4bbc92dfd6895ae7da,closed,true,3,912
DSL,Safe-DS,https://github.com/Safe-DS/DSL/pull/548,build(deps): Bump langium from 1.2.1 to 2.0.2,548,dependabot/npm_and_yarn/langium-2.0.1,cddf27360af6e8186477fa26eff14b8111bdc4b4,closed,true,6,34
lapworth.nz,jacoblapworth,https://github.com/jacoblapworth/lapworth.nz/pull/1115,📦 Bump @typescript-eslint/eslint-plugin from 5.61.0 to 6.0.0,1115,dependabot/npm_and_yarn/typescript-eslint/eslint-plugin-6.0.0,9994564569aaeb0c59a6e57a4a123f1b36889973,closed,true,3,25
ris-backend-service,digitalservicebund,https://github.com/digitalservicebund/ris-backend-service/pull/618,Bump prettier from 2.8.4 to 3.0.0 in /frontend,618,dependabot/npm_and_yarn/frontend/prettier-3.0.0,684dd8c6d256a2ff5ad1949a282430adee2899a2,closed,true,2,216
turbo_power,marcoroth,https://github.com/marcoroth/turbo_power/pull/78,Bump prettier from 2.8.4 to 3.0.2,78,dependabot/npm_and_yarn/prettier-3.0.2,965d2eec8d736619b62a97386be6f5b8d4693bc1,closed,true,4,20
github-helpers,ExpediaGroup,https://github.com/ExpediaGroup/github-helpers/pull/471,chore(deps): bump @actions/github from 5.1.1 to 6.0.0,471,dependabot/npm_and_yarn/actions/github-6.0.0,5158153bb28484e6a5fff381b2ca1d8b68bb4562,closed,true,3,33
github-helpers,ExpediaGroup,https://github.com/ExpediaGroup/github-helpers/pull/373,chore(deps): bump @octokit/request from 6.2.2 to 7.0.0,373,dependabot/npm_and_yarn/octokit/request-7.0.0,91da0a27f3198780040c80739f5c46d0159ecf82,closed,true,3,26
github-automation,martincostello,https://github.com/martincostello/github-automation/pull/228,Bump @actions/github from 5.1.1 to 6.0.0,228,dependabot/npm_and_yarn/actions/github-6.0.0,fc3be95d3d04b2052e03b7c953bf33540830e1e4,closed,true,4,24
Catroweb,Catrobat,https://github.com/Catrobat/Catroweb/pull/4151,Build(deps-dev): Bump stylelint from 14.16.1 to 15.10.1,4151,dependabot/npm_and_yarn/stylelint-15.10.1,da33df3e1ef740af295a078d6cf2aaa065e1774a,closed,true,2,146
formio,qld-gov-au,https://github.com/qld-gov-au/formio/pull/254,Bump prettier from 2.8.8 to 3.1.0,254,dependabot/npm_and_yarn/develop/prettier-3.1.0,0c557e8a7c1b36f6326bee8bdafddd1008958cc6,closed,true,4,30
29k,29ki,https://github.com/29ki/29k/pull/2082,Bump react-native-reanimated from 2.14.4 to 3.0.2 in /client,2082,dependabot/npm_and_yarn/client/react-native-reanimated-3.0.2,407f67ea0a91c98fa64f1686b693f4c58fe3b713,closed,true,28,33
cryostat-web,cryostatio,https://github.com/cryostatio/cryostat-web/pull/1094,build(deps-dev): bump prettier from 2.8.4 to 3.0.3,1094,dependabot/npm_and_yarn/prettier-3.0.3,50a1c5b3be876f5a67a11afcf645aa1a317c3aed,closed,true,2,189
kimoo-disc-bot,Kimossab,https://github.com/Kimossab/kimoo-disc-bot/pull/45,build(deps): bump mongoose from 6.10.4 to 7.0.3,45,dependabot/npm_and_yarn/mongoose-7.0.3,59e5e8a1279c1a3c683a512db5886216b64c8610,closed,true,6,22
codeql-action,github,https://github.com/github/codeql-action/pull/1563,Bump glob from 8.0.1 to 9.2.1,1563,dependabot/npm_and_yarn/glob-9.2.1,6f079be771282d1f84c5a371e14251ec1b62b57f,closed,true,2,139
newspack-theme,Automattic,https://github.com/Automattic/newspack-theme/pull/2045,chore(deps-dev): bump stylelint from 14.16.1 to 15.2.0,2045,dependabot/npm_and_yarn/stylelint-15.2.0,9b62c80dfd5ba2578611b1e89a3b5ac49ca59b63,closed,true,3,31
ouca,alexandresoro,https://github.com/alexandresoro/ouca/pull/1676,chore(deps): bump daisyui from 3.9.4 to 4.4.2,1676,dependabot/npm_and_yarn/daisyui-4.4.2,bd88d302dbbd0d308577feb7a45d2a5919b1f9f6,closed,true,2,24
klassified,foretagsplatsen,https://github.com/foretagsplatsen/klassified/pull/128,build(deps-dev): bump @foretagsplatsen/eslint-plugin from 3.0.0 to 4.1.0,128,dependabot/npm_and_yarn/foretagsplatsen/eslint-plugin-4.1.0,8a72df035ac6a8a0e77fe7e2d76a1d8585504d92,closed,true,4,27
creditcoin,gluwa,https://github.com/gluwa/creditcoin/pull/1243,build(deps-dev): bump prettier from 2.8.8 to 3.0.1 in /scripts/cc-cli,1243,dependabot/npm_and_yarn/scripts/cc-cli/prettier-3.0.1,32677851b49dc375aecd24b06dbbcc4005cf4f24,closed,true,2,33
common,ilios,https://github.com/ilios/common/pull/3416,Bump eslint-plugin-qunit from 7.3.4 to 8.0.0,3416,dependabot/npm_and_yarn/eslint-plugin-qunit-8.0.0,ebb08a642881dd196d0d7994ddc0ba69a9aad289,closed,true,4,82
aegir,ipfs,https://github.com/ipfs/aegir/pull/1229,deps: bump eslint-config-ipfs from 3.1.7 to 4.0.0,1229,dependabot/npm_and_yarn/eslint-config-ipfs-4.0.0,15f01ea4f27738a9483a464552286e0739d797b1,closed,true,2,57
protobuf-es,bufbuild,https://github.com/bufbuild/protobuf-es/pull/543,Bump prettier from 2.8.8 to 3.0.0,543,dependabot/npm_and_yarn/prettier-3.0.0,732192d84deb44b6010b5053ed17d69830c7de67,closed,true,4,77
starter-pwa,enonic,https://github.com/enonic/starter-pwa/pull/428,Bump prettier from 2.8.8 to 3.0.0,428,dependabot/npm_and_yarn/prettier-3.0.0,db88bc2c0850d85ae53ab1092cf091b958851141,closed,true,3,27
